"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:42:02.5248835 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52770 -> kubernetes.docker.internal:52769","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:02.5683692 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52770 -> kubernetes.docker.internal:52769","SUCCESS","Length: 9, startime: 539137, endtime: 539137, seqnum: 0, connid: 0"
"5:42:02.6915330 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52769 -> kubernetes.docker.internal:52770","SUCCESS","Length: 1, startime: 539150, endtime: 539150, seqnum: 0, connid: 0"
"5:42:02.7009562 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:02.7257543 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 315, startime: 539153, endtime: 539153, seqnum: 0, connid: 0"
"5:42:07.4663955 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 42, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4672677 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4677634 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 45, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:07.4689080 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52773 -> kubernetes.docker.internal:https","SUCCESS","Length: 625, startime: 539627, endtime: 539627, seqnum: 0, connid: 0"
"5:42:12.5987001 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:12.5993909 PM","BlueArchive.exe","15548","TCP Connect","kubernetes.docker.internal:52799 -> kubernetes.docker.internal:52798","SUCCESS","Length: 0, mss: 65495, sackopt: 1, tsopt: 0, wsopt: 1, rcvwin: 65535, rcvwinscale: 8"
"5:42:12.5997655 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52799 -> kubernetes.docker.internal:52798","SUCCESS","Length: 1, startime: 540140, endtime: 540141, seqnum: 0, connid: 0"
"5:42:12.6526099 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 200, startime: 540146, endtime: 540146, seqnum: 0, connid: 0"
"5:42:12.6638500 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 75, startime: 540147, endtime: 540147, seqnum: 0, connid: 0"
"5:42:12.6715188 PM","BlueArchive.exe","15548","TCP Send","kubernetes.docker.internal:52797 -> kubernetes.docker.internal:https","SUCCESS","Length: 6, startime: 540148, endtime: 540148, seqnum: 0, connid: 0"
